,month,day,Date,Class,Lat,Lon,Max wind,Min pres,SST,UWND,VWND,rhum,airtemp,key,year,distance,direction,gridID
145,9,11,0, TS,31.6,63.3,35,1005,26.81,0.099990845,-0.009994507,74.27000427,300.4599915,            CHANTAL1983,1983,63.63042137,254.4739157,3124
146,9,11,600, TS,32,62.4,45,1000,26.71,0.099990845,-0.009994507,74.27000427,300.4599915,            CHANTAL1983,1983,59.63962264,317.6878315,3123
147,9,11,1200, TS,32.4,61.2,55,996,26.47,2.009994507,6.649993896,74.80999756,300.039978,            CHANTAL1983,1983,75.40627842,286.1499684,3245
148,9,11,1800, HU,32.8,60,65,994,26.17,2.009994507,6.649993896,74.80999756,300.039978,            CHANTAL1983,1983,75.11778251,190.703961,3244
149,9,12,0, HU,33.1,58.9,65,994,26.41,7.229995728,-7.089996338,84.16000366,299.789978,            CHANTAL1983,1983,67.06077335,171.3568377,3243
150,9,12,600, HU,33.6,57.6,65,994,26.039999,8.279998779,1.770004272,89.92999268,298.9700012,            CHANTAL1983,1983,82.60070027,45.78412268,3364
151,9,12,1200, HU,34,56.3,65,994,26.529999,1.690002441,2.910003662,92.61999512,299.5599976,            CHANTAL1983,1983,79.59183907,60.80129256,3363
152,9,12,1800, HU,34.4,55.5,65,994,26.63,3.169998169,11.25999451,93.28999329,299.9799805,            CHANTAL1983,1983,53.42102876,126.1811007,3485
153,9,13,0, TS,34.8,54.9,55,1000,25.55,4.270004272,-1.089996338,92.75999451,297.8999939,            CHANTAL1983,1983,43.9119071,144.9062945,3485
154,9,13,600, TS,35.3,54.5,55,1000,25.359999,4.270004272,-1.089996338,92.75999451,297.8999939,            CHANTAL1983,1983,41.29616975,135.4701477,3607
155,9,13,1200, TS,35.9,54.2,45,1005,25.269999,4.270004272,-1.089996338,92.75999451,297.8999939,            CHANTAL1983,1983,44.75102201,7.199410768,3607
156,9,13,1800, TS,36.3,53.9,40,1005,25.33,-0.25,-0.5,92.95999146,297.9799805,            CHANTAL1983,1983,32.3159043,356.942591,3730
157,9,14,0, TS,36.8,53.8,40,1005,25.55,3.949996948,3.199996948,92.3500061,298.6300049,            CHANTAL1983,1983,34.98975755,356.2980349,3730
158,9,14,600, TS,37.4,53.8,40,1006,25.46,3.949996948,3.199996948,92.3500061,298.6300049,            CHANTAL1983,1983,41.45605305,0,3853
159,9,14,1200, TS,38.7,53.8,35,1008,25.619999,3.949996948,3.199996948,92.3500061,298.6300049,            CHANTAL1983,1983,89.82144827,180,3976
160,9,14,1800, TS,39.5,52.5,35,1008,25.84,5.039993286,4.270004272,97.69999695,298.9500122,            CHANTAL1983,1983,88.95982638,158.2835445,4097
161,9,15,0, TD,40.4,50.7,30,1009,24.55,12.06999207,9.429992676,95.97999573,299.0499878,            CHANTAL1983,1983,113.8241088,71.16612316,4219
162,9,15,600, TD,41.7,48.8,30,1009,19.68,10.52999878,7.589996338,93.77999878,298.4700012,            CHANTAL1983,1983,133.6688594,78.09109564,4340
163,9,26,1800, SS,28,73,35,1010,27.359999,-3.309997559,3.720001221,77.56999207,298.0499878,               DEAN1983,1983,0,0,2642
164,9,27,0, SS,28.5,72.9,35,1009,27.699999,3.729995728,-0.11000061,82.44999695,301.0100098,               DEAN1983,1983,35.07875081,166.417622,2765
165,9,27,600, SS,29,72.8,40,1006,27.25,-2.199996948,-1.190002441,83.77999878,300.7399902,               DEAN1983,1983,35.07377036,22.17584169,2765
166,9,27,1200, SS,29.5,72.6,40,1003,26.83,-2.199996948,-1.190002441,83.77999878,300.7399902,               DEAN1983,1983,36.59014283,4.960074725,2887
167,9,27,1800, TS,30.3,72.1,40,1000,26.15,-2.199996948,-1.190002441,83.77999878,300.7399902,               DEAN1983,1983,62.866324,345.7137515,3010
168,9,28,0, TS,31.2,71.7,45,999,25.68,1.130004883,-0.169998169,85.86000061,300.8300171,               DEAN1983,1983,66.56560675,232.3541299,3133
169,9,28,600, TS,32.2,71.1,45,999,25.31,1.529998779,4.929992676,89.86000061,302.7399902,               DEAN1983,1983,77.57507712,206.0150597,3255
170,9,28,1200, TS,33.1,70.7,50,1000,24.939999,1.529998779,4.929992676,89.86000061,302.7399902,               DEAN1983,1983,66.39529214,26.05574726,3255
171,9,28,1800, TS,34,70.7,50,1001,24.84,-4.979995728,-2.529998779,88.16999817,299.0200195,               DEAN1983,1983,62.18407957,0,3378
172,9,29,0, TS,34.5,70.8,55,1003,24.949999,-3.509994507,1.470001221,84.31999207,301.2600098,               DEAN1983,1983,35.01560284,354.1948703,3501
173,9,29,600, TS,34.8,71,55,1005,24.89,-3.509994507,1.470001221,84.31999207,301.2600098,               DEAN1983,1983,23.64058838,348.8560763,3501
174,9,29,1200, TS,35.1,71.5,55,1006,24.789999,-7.619995117,-4.509994507,90.17999268,297.6199951,               DEAN1983,1983,35.09212419,335.2671099,3501
